["216,146,977", "819,987,18"]
["431,825,988", "862,61,35"]
["162,817,812", "862,61,35"]
["216,146,977", "941,993,340"]
["216,146,977", "970,615,88"]
["819,987,18", "117,168,530"]
["162,817,812", "984,92,344"]
["117,168,530", "941,993,340"]
["216,146,977", "862,61,35"]
["819,987,18", "805,96,715"]
["52,470,668", "819,987,18"]
["57,618,57", "805,96,715"]
["431,825,988", "984,92,344"]
["346,949,466", "862,61,35"]
["52,470,668", "862,61,35"]
["57,618,57", "984,92,344"]
["162,817,812", "970,615,88"]
["542,29,236", "431,825,988"]
["52,470,668", "970,615,88"]
["52,470,668", "941,993,340"]
["592,479,940", "819,987,18"]
["346,949,466", "984,92,344"]
["431,825,988", "970,615,88"]
["117,168,530", "970,615,88"]
["431,825,988", "819,987,18"]
["52,470,668", "984,92,344"]
["542,29,236", "941,993,340"]
["162,817,812", "542,29,236"]
["57,618,57", "216,146,977"]
["162,817,812", "819,987,18"]
["57,618,57", "592,479,940"]
["592,479,940", "862,61,35"]
["57,618,57", "431,825,988"]
["542,29,236", "819,987,18"]
["57,618,57", "906,360,560"]
["862,61,35", "425,690,689"]
["466,668,158", "216,146,977"]
["57,618,57", "941,993,340"]
["805,96,715", "346,949,466"]
["216,146,977", "984,92,344"]
["941,993,340", "862,61,35"]
["805,96,715", "941,993,340"]
["57,618,57", "862,61,35"]
["162,817,812", "805,96,715"]
["542,29,236", "346,949,466"]
["819,987,18", "984,92,344"]
["216,146,977", "346,949,466"]
["592,479,940", "970,615,88"]
["162,817,812", "941,993,340"]
["819,987,18", "862,61,35"]
["57,618,57", "970,615,88"]
["162,817,812", "906,360,560"]
["941,993,340", "984,92,344"]
["117,168,530", "862,61,35"]
["117,168,530", "984,92,344"]
["984,92,344", "425,690,689"]
["739,650,466", "216,146,977"]
["352,342,300", "941,993,340"]
["906,360,560", "52,470,668"]
["466,668,158", "805,96,715"]
["592,479,940", "941,993,340"]
["431,825,988", "805,96,715"]
["431,825,988", "117,168,530"]
["57,618,57", "819,987,18"]
["466,668,158", "431,825,988"]
["352,342,300", "819,987,18"]
["352,342,300", "431,825,988"]
["52,470,668", "805,96,715"]
["431,825,988", "941,993,340"]
["592,479,940", "542,29,236"]
["906,360,560", "216,146,977"]
